"biosample_name","description","high_level_annotation","low_level_annotation"
"GM18508","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM18499","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM18498","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM19035","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM18907","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM18873","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM18870","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM18867","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM18868","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM18861","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM18858","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM19397","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM19395","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM19438","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM19452","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM19455","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM19463","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM19467","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM19372","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM19351","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM19324","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM19328","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"A549","Human lung adenocarcinoma cell line","Cancer","cancer_cell_line"
"HepG2","Human liver carcinoma cell line","Cancer","cancer_cell_line"
"IMR-90","Human fetal lung fibroblast cell line","Lung","connective_tissue_cell"
"MCF-7","Human breast adenocarcinoma cell line","Cancer","cancer_cell_line"
"NCI-H929","Human multiple myeloma cell line","Cancer","blood_cell_line"
"K562","Human chronic myelogenous leukemia cell line","Cancer","blood_cell_line"
"PC-3","Human prostate adenocarcinoma cell line","Cancer","cancer_cell_line"
"Panc1","Human pancreas epithelioid carcinoma cell line","Cancer","cancer_cell_line"
"GM12878","Lymphoblastoid cell line (LCL), ENCODE standard","Immune System","blood_cell_line"
"HCT116","Human colon carcinoma cell line","Cancer","cancer_cell_line"
"GM18505","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"DND-41","Human T-cell acute lymphoblastic leukemia cell line","Cancer","cancer_cell_line"
"RWPE2","Human prostate epithelial cell line","Prostate","prostate_cell_line"
"GM23338","Fibroblast cell line","Skin","connective_tissue_cell"
"WTC11","Human iPSC line (male)","Stem Cell","stem_cell_line"
"GM19023","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM19025","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM19043","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM21515","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM21737","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM21786","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG02571","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG02588","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG02610","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG02623","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG02678","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG02759","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG02763","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG02840","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG02852","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG02870","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG02884","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG02938","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG02943","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG02970","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG02973","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG02981","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03025","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03039","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03045","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03060","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03064","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03066","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03095","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03097","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03103","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03108","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03135","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03139","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03159","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03175","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03196","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03280","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03342","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03378","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03432","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03439","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03442","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03457","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03460","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03469","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03520","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03521","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03565","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HG03571","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"Right ventricle myocardium inferior","Muscle tissue from the lower right heart ventricle","Heart","heart_tissue"
"Right ventricle myocardium superior","Muscle tissue from the upper right heart ventricle","Heart","heart_tissue"
"left ventricle myocardium superior","Muscle tissue from the upper left heart ventricle","Heart","heart_tissue"
"ureter","Tube carrying urine from kidney to bladder","Kidney","other_tissue"
"colonic mucosa","Lining of the large intestine","Digestive","digestive_tissue"
"stomach","Stomach tissue","Digestive","digestive_tissue"
"ovary","Female reproductive organ","Reproductive","reproductive_tissue"
"uterus","Female reproductive organ","Reproductive","reproductive_tissue"
"posterior vena cava","Large vein carrying deoxygenated blood to the heart","Vasculature","vasculature_tissue"
"right lobe of liver","Section of the liver","Liver","liver_tissue"
"left lobe of liver","Section of the liver","Liver","liver_tissue"
"body of pancreas","Section of the pancreas","Pancreas","pancreas_tissue"
"transverse colon","Section of the large intestine","Digestive","digestive_tissue"
"sigmoid colon","Section of the large intestine","Digestive","digestive_tissue"
"mucosa of urinary bladder","Lining of the urinary bladder","Bladder","other_tissue"
"pancreas","Glandular organ (digestive and endocrine)","Pancreas","pancreas_tissue"
"sciatic nerve","Major nerve in the leg (Peripheral Nervous System)","Nervous System","peripheral_nervous_system_tissue"
"thyroid gland","Endocrine gland in the neck","Gland","gland_tissue"
"lung","Lung tissue","Lung","lung_tissue"
"right cardiac atrium","Right upper chamber of the heart","Heart","heart_tissue"
"left cardiac atrium","Left upper chamber of the heart","Heart","heart_tissue"
"heart right ventricle","Right lower chamber of the heart","Heart","heart_tissue"
"heart left ventricle","Left lower chamber of the heart","Heart","heart_tissue"
"cardiac septum","Wall separating heart chambers","Heart","heart_tissue"
"spleen","Organ involved in filtering blood","Immune System","other_tissue"
"liver","Liver tissue","Liver","liver_tissue"
"kidney","Kidney tissue","Kidney","kidney_tissue"
"left lung","Left lung tissue","Lung","lung_tissue"
"upper lobe of right lung","Section of the right lung","Lung","lung_tissue"
"lower lobe of right lung","Section of the right lung","Lung","lung_tissue"
"subcutaneous adipose tissue","Fat tissue under the skin","Adipose (Fat)","adipose_tissue"
"adrenal gland","Endocrine gland on top of the kidney","Gland","gland_tissue"
"bile duct","Tube that carries bile","Digestive","digestive_tissue"
"esophagus mucosa","Lining of the esophagus","Digestive","digestive_tissue"
"fallopian tube","Female reproductive organ","Reproductive","reproductive_tissue"
"gastroesophageal sphincter","Muscle at the junction of the esophagus and stomach","Digestive","digestive_tissue"
"mucosa of descending colon","Lining of a section of the large intestine","Digestive","digestive_tissue"
"mucosa of gallbladder","Lining of the gallbladder","Digestive","digestive_tissue"
"tibial artery","Blood vessel in the lower leg","Vasculature","vasculature_tissue"
"breast epithelium","Cell lining of breast ducts","Breast","other_cell"
"psoas muscle","Muscle in the lower lumbar region","Muscle","muscle_tissue"
"upper lobe of left lung","Section of the left lung","Lung","lung_tissue"
"lower lobe of left lung","Section of the left lung","Lung","lung_tissue"
"left colon","Section of the large intestine","Digestive","digestive_tissue"
"omental fat pad","Adipose tissue in the omentum (abdomen)","Adipose (Fat)","adipose_tissue"
"gastrocnemius medialis","Calf muscle tissue","Muscle","muscle_tissue"
"mesenteric fat pad","Adipose tissue in the mesentery (abdomen)","Adipose (Fat)","adipose_tissue"
"H1-hESC","Human embryonic stem cell line (H1)","Stem Cell","stem_cell_line"
"HFFc6","Human fetal foreskin fibroblast cell line","Skin","connective_tissue_cell"
"CyT49","Human embryonic stem cell line","Stem Cell","stem_cell_line"
"H9","Human embryonic stem cell line (H9)","Stem Cell","stem_cell_line"
"KBM-7","Human chronic myeloid leukemia cell line","Cancer","blood_cell_line"
"HeLa-S3","Human cervical adenocarcinoma cell line (HeLa variant)","Cancer","cancer_cell_line"
"skin fibroblast","Fibroblast cell from skin","Skin","connective_tissue_cell"
"GM25256","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"neuronal stem cell","Stem cell that generates neurons","Brain","stem_cell"
"endothelial cell","Cell lining blood vessels","Vasculature","vasculature_cell"
"astrocyte","Glial support cell in the brain (Central Nervous System)","Brain","brain_cell"
"mesenchymal stem cell","Multipotent stromal/stem cell","Stem Cell","stem_cell"
"adipocyte","Fat cell","Adipose (Fat)","adipose_cell"
"chondrocyte","Cell that forms cartilage","Skeletal","skeletal_cell"
"hepatocyte","Main functional cell of the liver","Liver","liver_cell"
"myocyte","Muscle cell","Muscle","muscle_cell"
"skeletal muscle cell","Cell from skeletal muscle","Muscle","muscle_cell"
"endodermal cell","Embryonic germ layer cell (forms gut, liver, lungs)","Stem Cell","stem_cell"
"keratinocyte","Primary cell type of the epidermis (skin)","Skin","skin_cell"
"trophoblast cell","Cell forming the outer layer of a blastocyst","Reproductive","reproductive_cell"
"skeletal muscle myoblast","Progenitor cell that forms skeletal muscle","Muscle","stem_cell"
"T-helper 1 cell","T-helper cell (Th1) subtype","Immune System","immune_cell"
"T-helper 2 cell","T-helper cell (Th2) subtype","Immune System","immune_cell"
"hepatic stellate cell","Liver-specific cell (storing Vitamin A)","Liver","liver_cell"
"glomerular visceral epithelial cell","Podocyte cell in the kidney","Kidney","kidney_cell"
"glutamatergic neuron","Neuron that uses glutamate as a neurotransmitter","Brain","brain_cell"
"choroid plexus epithelial cell","Cell that produces cerebrospinal fluid","Brain","brain_cell"
"cardiac muscle cell","Heart muscle cell (cardiomyocyte)","Heart","heart_cell"
"immature natural killer cell","Developing NK cell","Immune System","immune_cell"
"hematopoietic multipotent progenitor cell","Stem cell that gives rise to all blood cells","Stem Cell","stem_cell"
"suppressor macrophage","Macrophage with anti-inflammatory properties","Immune System","immune_cell"
"inflammatory macrophage","Macrophage with pro-inflammatory properties","Immune System","immune_cell"
"CD4-positive, alpha-beta memory T cell","Memory Helper T-cell subtype","Immune System","immune_cell"
"central memory CD4-positive, alpha-beta T cell","Memory Helper T-cell subtype","Immune System","immune_cell"
"effector memory CD4-positive, alpha-beta T cell","Memory Helper T-cell subtype","Immune System","immune_cell"
"CD8-positive, alpha-beta memory T cell","Memory Cytotoxic T-cell subtype","Immune System","immune_cell"
"T-helper 22 cell","T-helper cell (Th22) subtype","Immune System","immune_cell"
"effector CD4-positive, alpha-beta T cell","Activated Helper T-cell subtype","Immune System","immune_cell"
"CD14-positive monocyte","Monocyte blood cell subtype","Immune System","immune_cell"
"common myeloid progenitor, CD34-positive","Stem cell for myeloid lineage (monocytes, etc.)","Stem Cell","stem_cell"
"T follicular helper cell","T-helper cell subtype that assists B-cells","Immune System","immune_cell"
"T-helper 9 cell","T-helper cell (Th9) subtype","Immune System","immune_cell"
"epithelial cell of prostate","Lining cell of the prostate","Prostate","prostate_cell"
"epithelial cell of esophagus","Lining cell of the esophagus","Digestive","digestive_cell"
"non-pigmented ciliary epithelial cell","Cell in the ciliary body of the eye","Eye","eye_cell"
"epithelial cell of proximal tubule","Kidney tubule cell","Kidney","kidney_cell"
"mammary epithelial cell","Lining cell of breast ducts","Breast","other_cell"
"bronchial epithelial cell","Lining cell of the airways","Lung","lung_cell"
"progenitor cell of endocrine pancreas","Stem cell for hormone-producing pancreas cells","Pancreas","stem_cell"
"myotube","Developing muscle fiber (fused myoblasts)","Muscle","muscle_cell"
"kidney epithelial cell","Lining cell of the kidney","Kidney","kidney_cell"
"amniotic epithelial cell","Lining cell of the amnion (placenta)","Reproductive","reproductive_cell"
"fibroblast of the aortic adventitia","Connective tissue cell of the aorta","Vasculature","connective_tissue_cell"
"cardiac fibroblast","Connective tissue cell of the heart","Heart","connective_tissue_cell"
"fibroblast of the conjunctiva","Connective tissue cell of the eye","Eye","connective_tissue_cell"
"fibroblast of dermis","Connective tissue cell of the skin","Skin","connective_tissue_cell"
"fibroblast of gingiva","Connective tissue cell of the gums","Mouth","connective_tissue_cell"
"fibroblast of lung","Connective tissue cell of the lung","Lung","connective_tissue_cell"
"fibroblast of mammary gland","Connective tissue cell of the breast","Breast","connective_tissue_cell"
"fibroblast of pulmonary artery","Connective tissue cell of the pulmonary artery","Vasculature","connective_tissue_cell"
"fibroblast of villous mesenchyme","Connective tissue cell of the placenta","Reproductive","connective_tissue_cell"
"iris pigment epithelial cell","Pigmented cell of the iris (eye)","Eye","eye_cell"
"renal cortical epithelial cell","Epithelial cell from the kidney cortex","Kidney","kidney_cell"
"retinal pigment epithelial cell","Pigmented cell layer of the retina (eye)","Eye","eye_cell"
"smooth muscle cell of the brain vasculature","Muscle cell of blood vessels in the brain","Brain","vasculature_cell"
"astrocyte of the cerebellum","Astrocyte from the cerebellum","Brain","brain_cell"
"astrocyte of the hippocampus","Astrocyte from the hippocampus","Brain","brain_cell"
"astrocyte of the spinal cord","Astrocyte from the spinal cord","Brain","brain_cell"
"endothelial cell of umbilical vein","Lining cell of the umbilical vein","Vasculature","vasculature_cell"
"stromal cell of bone marrow","Connective tissue cell of the bone marrow","Bone Marrow","connective_tissue_cell"
"neural crest cell","Embryonic stem cell (forms PNS, melanocytes, etc.)","Stem Cell","stem_cell"
"mesothelial cell of epicardium","Lining cell of the heart surface","Heart","heart_cell"
"neural progenitor cell","Stem cell that generates neurons and glia","Brain","stem_cell"
"fibroblast of upper back skin","Connective tissue cell from skin","Skin","connective_tissue_cell"
"fibroblast of skin of back","Connective tissue cell from skin","Skin","connective_tissue_cell"
"kidney tubule cell","Cell from a kidney tubule","Kidney","kidney_cell"
"kidney capillary endothelial cell","Endothelial cell from kidney blood vessel","Kidney","vasculature_cell"
"pulmonary artery endothelial cell","Lining cell of the pulmonary artery","Vasculature","vasculature_cell"
"foreskin fibroblast","Connective tissue cell from foreskin","Skin","connective_tissue_cell"
"epidermal melanocyte","Pigment-producing cell in the epidermis (skin)","Skin","skin_cell"
"dermis blood vessel endothelial cell","Lining cell of skin blood vessels","Skin","vasculature_cell"
"fibroblast of skin of abdomen","Connective tissue cell from skin","Skin","connective_tissue_cell"
"lung microvascular endothelial cell","Lining cell of lung blood capillaries","Lung","vasculature_cell"
"fibroblast of peridontal ligament","Connective tissue cell of the tooth ligament","Mouth","connective_tissue_cell"
"dermis microvascular lymphatic vessel endothelial cell","Lining cell of skin lymph vessels","Skin","vasculature_cell"
"brain pericyte","Cell supporting the blood-brain barrier","Brain","vasculature_cell"
"brain microvascular endothelial cell","Endothelial cell forming the blood-brain barrier","Brain","vasculature_cell"
"foreskin melanocyte","Pigment-producing cell from foreskin","Skin","skin_cell"
"HK-2","Human kidney epithelial cell line (proximal tubule)","Kidney","kidney_cell_line"
"Jurkat, Clone E6-1","Human T-cell leukemia cell line (Jurkat variant)","Cancer","cancer_cell_line"
"AG20443","Fibroblast cell line","Skin","connective_tissue_cell"
"GM03348","Fibroblast cell line","Skin","connective_tissue_cell"
"GM04504","Fibroblast cell line","Skin","connective_tissue_cell"
"GM04503","Fibroblast cell line","Skin","connective_tissue_cell"
"AG10803","Fibroblast cell line","Skin","connective_tissue_cell"
"AG09309","Fibroblast cell line","Skin","connective_tissue_cell"
"AG09319","Fibroblast cell line","Skin","connective_tissue_cell"
"AG08396","Fibroblast cell line","Skin","connective_tissue_cell"
"AG08395","Fibroblast cell line","Skin","connective_tissue_cell"
"AG04449","Fibroblast cell line","Skin","connective_tissue_cell"
"RCC","Renal cell carcinoma cell line","Cancer","cancer_cell_line"
"Caco-2","Human colorectal adenocarcinoma cell line","Cancer","cancer_cell_line"
"HT-29","Human colorectal adenocarcinoma cell line","Cancer","cancer_cell_line"
"MCF 10A","Non-tumorigenic breast epithelial cell line","Breast","other_cell_line"
"RKO","Human colon carcinoma cell line","Cancer","cancer_cell_line"
"T47D","Human breast ductal carcinoma cell line","Cancer","cancer_cell_line"
"HT1080","Human fibrosarcoma cell line","Cancer","cancer_cell_line"
"SW480","Human colorectal adenocarcinoma cell line","Cancer","cancer_cell_line"
"A172","Human glioblastoma cell line","Cancer","brain_cell_line"
"A673","Human rhabdomyosarcoma cell line","Cancer","cancer_cell_line"
"ACHN","Human renal cell adenocarcinoma cell line","Cancer","cancer_cell_line"
"COLO829","Human malignant melanoma cell line","Cancer","cancer_cell_line"
"Caki2","Human clear cell carcinoma (kidney) cell line","Cancer","cancer_cell_line"
"G401","Human rhabdoid tumor (kidney) cell line","Cancer","cancer_cell_line"
"H4","Human neuroglioma cell line","Cancer","brain_cell_line"
"MG63","Human osteosarcoma cell line","Cancer","cancer_cell_line"
"NAMALWA","Human Burkitt's lymphoma cell line","Cancer","blood_cell_line"
"NCI-H226","Human lung squamous cell carcinoma cell line","Cancer","cancer_cell_line"
"RPMI8226","Human multiple myeloma cell line","Cancer","blood_cell_line"
"RWPE1","Human prostate epithelial cell line","Prostate","prostate_cell_line"
"SJSA1","Human osteosarcoma cell line","Cancer","cancer_cell_line"
"BJ","Human foreskin fibroblast cell line","Skin","connective_tissue_cell"
"GM06990","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM12891","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM19238","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM19239","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM19240","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HL-60","Human promyelocytic leukemia cell line","Cancer","blood_cell_line"
"NB4","Human acute promyelocytic leukemia cell line","Cancer","blood_cell_line"
"Calu3","Human lung adenocarcinoma cell line","Cancer","cancer_cell_line"
"PC-9","Human lung adenocarcinoma cell line","Cancer","cancer_cell_line"
"SK-N-MC","Human neuroblastoma cell line (brain/PNS)","Cancer","brain_cell_line"
"CMK","Human megakaryoblastic leukemia cell line","Cancer","blood_cell_line"
"H1","Human embryonic stem cell line (H1)","Stem Cell","stem_cell_line"
"NCI-H460","Human large cell lung cancer cell line","Cancer","cancer_cell_line"
"SK-N-SH","Human neuroblastoma cell line (brain)","Cancer","brain_cell_line"
"NT2/D1","Human teratocarcinoma cell line (differentiates to neurons)","Cancer","brain_cell_line"
"HS-5","Human bone marrow stromal cell line","Bone Marrow","connective_tissue_cell"
"HS-27A","Human bone marrow stromal cell line","Bone Marrow","connective_tissue_cell"
"GM12864","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM12865","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM13976","Fibroblast cell line","Skin","connective_tissue_cell"
"GM20000","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"HuH-7","Human hepatocellular carcinoma cell line","Cancer","cancer_cell_line"
"D721Med","Cell line","Other","other_cell_line"
"M059J","Human glioblastoma cell line","Cancer","brain_cell_line"
"Daoy","Human medulloblastoma cell line","Cancer","brain_cell_line"
"HuH-7.5","Human hepatocellular carcinoma cell line (HuH-7 derivative)","Cancer","cancer_cell_line"
"RCC 7860","Human renal cell adenocarcinoma cell line","Cancer","cancer_cell_line"
"HTR-8/SVneo","Human trophoblast cell line (placenta)","Reproductive","reproductive_cell_line"
"HFF-Myc","Human foreskin fibroblast (immortalized)","Skin","connective_tissue_cell"
"RPMI7951","Human malignant melanoma cell line","Cancer","cancer_cell_line"
"LHCN-M2","Human skeletal myoblast cell line (immortalized)","Muscle","muscle_cell_line"
"WERI-Rb-1","Human retinoblastoma cell line (eye)","Cancer","cancer_cell_line"
"Karpas-422","Human B-cell lymphoma cell line","Cancer","blood_cell_line"
"SK-MEL-5","Human malignant melanoma cell line","Cancer","cancer_cell_line"
"SK-N-DZ","Human neuroblastoma cell line (brain)","Cancer","brain_cell_line"
"SJCRH30","Human rhabdomyosarcoma cell line","Cancer","cancer_cell_line"
"GM23248","Fibroblast cell line","Skin","connective_tissue_cell"
"MM.1S","Human multiple myeloma cell line","Cancer","blood_cell_line"
"BE2C","Human neuroblastoma cell line (brain)","Cancer","brain_cell_line"
"LNCaP clone FGC","Human prostate adenocarcinoma cell line","Cancer","cancer_cell_line"
"ELF-1","Cell line","Other","other_cell_line"
"H7","Human embryonic stem cell line (H7)","Stem Cell","stem_cell_line"
"urothelium cell line","Cell line from bladder lining","Bladder","other_cell_line"
"AG04450","Fibroblast cell line","Skin","connective_tissue_cell"
"LoVo","Human colorectal adenocarcinoma cell line","Cancer","cancer_cell_line"
"OCI-LY7","Human B-cell lymphoma cell line","Cancer","blood_cell_line"
"iPS DF 6.9","Human induced pluripotent stem cell line","Stem Cell","stem_cell_line"
"HAP-1","Human near-haploid cell line (from KBM-7)","Cancer","blood_cell_line"
"L1-S8","Cell line","Other","other_cell_line"
"L1-S8R","Cell line","Other","other_cell_line"
"EH","Cell line","Other","other_cell_line"
"EL","Cell line","Other","other_cell_line"
"ELR","Cell line","Other","other_cell_line"
"iPS-NIHi11","Human induced pluripotent stem cell line","Stem Cell","stem_cell_line"
"HCEC 1CT","Human corneal epithelial cell line","Eye","eye_cell_line"
"ecto neural progenitor cell","Stem cell for ectodermal neural lineage","Brain","stem_cell"
"left ventricle myocardium inferior","Muscle tissue from the lower left heart ventricle","Heart","heart_tissue"
"nephron progenitor cell","Stem cell that generates kidney nephrons","Kidney","stem_cell"
"fibroblast of skin of left biceps","Connective tissue cell from skin","Skin","connective_tissue_cell"
"fibroblast of skin of left quadriceps","Connective tissue cell from skin","Skin","connective_tissue_cell"
"fibroblast of skin of right quadriceps","Connective tissue cell from skin","Skin","connective_tissue_cell"
"fibroblast of skin of scalp","Connective tissue cell from skin","Skin","connective_tissue_cell"
"fibroblast of skin of right biceps","Connective tissue cell from skin","Skin","connective_tissue_cell"
"mesendoderm","Embryonic germ layer cell (forms mesoderm/endoderm)","Stem Cell","stem_cell"
"islet precursor cell","Progenitor cell for pancreas islets","Pancreas","stem_cell"
"large intestine","Large intestine tissue","Digestive","digestive_tissue"
"testis","Male reproductive organ","Reproductive","reproductive_tissue"
"aorta","Major artery from the heart","Vasculature","vasculature_tissue"
"heart","Heart tissue","Heart","heart_tissue"
"brain","Brain tissue (general)","Brain","brain_tissue_or_region"
"retina","Light-sensitive layer of the eye","Eye","eye_tissue"
"eye","Eye tissue","Eye","eye_tissue"
"femur","Thigh bone","Skeletal","skeletal_tissue"
"pons","Brainstem region","Brain","brain_tissue_or_region"
"Peyer's patch","Lymphoid tissue in the small intestine","Immune System","other_tissue"
"renal pelvis","Funnel-like structure in the kidney","Kidney","kidney_tissue"
"tibial nerve","Nerve in the lower leg (Peripheral Nervous System)","Nervous System","peripheral_nervous_system_tissue"
"muscle of leg","Skeletal muscle tissue from the leg","Muscle","muscle_tissue"
"ascending aorta","Section of the aorta","Vasculature","vasculature_tissue"
"muscle of arm","Skeletal muscle tissue from the arm","Muscle","muscle_tissue"
"thoracic aorta","Section of the aorta","Vasculature","vasculature_tissue"
